id_estudante,matricula,nome,id_curso,ano_ingresso,situacao,bairro,cidade
1,9358916477,Sr. Marcos Vinicius Cunha,7,2023,EVADIDO,Farol,Maceió
2,7705241765,Hellena Correia,4,2024,EVADIDO,São Jorge,Maceió
3,3139407680,Dante Vieira,7,2023,EVADIDO,Centro,Maceió
4,419448286,Maria Luiza Lopes,4,2025,TRANCADO,Mutange,Maceió
5,3221575926,Ana Porto,4,2022,TRANCADO,Farol,Maceió
6,7468887456,Gustavo Camargo,6,2026,EVADIDO,Santos Dumont,Maceió
7,6075205236,Caio Araújo,6,2026,TRANCADO,Clima Bom,Maceió
8,5502844038,Luna Santos,1,2024,EVADIDO,Serraria,Maceió
9,1674456163,Bárbara Peixoto,7,2025,TRANCADO,Chã da Jaqueira,Maceió
10,1621180827,Laura Nunes,6,2022,TRANCADO,Santos Dumont,Maceió
11,1290358088,Sara da Cunha,3,2022,ATIVO,Barro Duro,Maceió
12,782611254,Lorena Sales,6,2024,EVADIDO,Mutange,Maceió
13,5104848830,Sra. Gabrielly Guerra,5,2022,ATIVO,Pajuçara,Maceió
14,2926487663,Srta. Melina Castro,4,2022,ATIVO,Pajuçara,Maceió
15,238219835,Ana Sophia Casa Grande,4,2026,EVADIDO,Centro,Maceió
16,3569609126,Kevin Moreira,1,2024,TRANCADO,Vergel do Lago,Maceió
17,517882356,Gael Henrique Montenegro,6,2024,TRANCADO,Cidade Universitária,Maceió
18,6572372248,Lívia Castro,5,2022,ATIVO,Centro,Maceió
19,5312316039,Beatriz Sá,4,2024,EVADIDO,Feitosa,Maceió
20,8144806753,Raul Silveira,1,2025,ATIVO,Gruta de Lourdes,Maceió
21,5848975234,Sophia Pires,3,2026,EVADIDO,Riacho Doce,Maceió
22,3762567734,Ana Vitória Ferreira,7,2024,ATIVO,Santa Lúcia,Maceió
23,9807249155,Srta. Cecilia Vargas,5,2026,TRANCADO,São Jorge,Maceió
24,9226030884,Hellena Barbosa,5,2023,ATIVO,Santa Lúcia,Maceió
25,8073269613,Vitor Hugo Moraes,4,2026,EVADIDO,Benedito Bentes,Maceió
26,727884587,Ester Guerra,3,2022,ATIVO,Gruta de Lourdes,Maceió
27,7867487766,Arthur Azevedo,1,2025,TRANCADO,Jacarecica,Maceió
28,1626443437,Lorenzo Martins,4,2022,ATIVO,Pedro Sales de Barros,Olho d'Água das Flores
29,8317397184,Lucca Barros,5,2023,EVADIDO,Serraria,Maceió
30,1338800045,Dr. Paulo Sampaio,6,2023,EVADIDO,Bom Parto,Maceió
31,139415866,Agatha da Rosa,7,2023,EVADIDO,Mangabeiras,Maceió
32,3445392927,Sr. João Câmara,2,2025,EVADIDO,Jardim Petrópolis,Maceió
33,1082120453,Sr. Davi Luiz Farias,6,2023,EVADIDO,Ipioca,Maceió
34,3934704396,Davi Montenegro,3,2024,EVADIDO,Benedito Bentes,Maceió
35,7947559508,Isabela Leão,4,2026,TRANCADO,Antares,Maceió
36,3251435980,Vitor Gabriel Peixoto,6,2022,ATIVO,Pontal da Barra,Maceió
37,2311977870,Evelyn Pereira,2,2022,EVADIDO,Petrópolis,Maceió
38,5267481951,Zoe Andrade,2,2025,EVADIDO,Ponta Verde,Maceió
39,7768565230,Carolina Pereira,6,2025,TRANCADO,Fernão Velho,Maceió
40,5664041319,Erick Rocha,5,2025,EVADIDO,São Jorge,Maceió
41,2974956051,Sra. Emanuelly Monteiro,5,2024,EVADIDO,Petrópolis,Maceió
42,9379611236,Miguel Cavalcante,4,2023,TRANCADO,Cruz das Almas,Maceió
43,8806858813,Olivia Campos,5,2026,ATIVO,Riacho Doce,Maceió
44,9775038232,Caio Dias,5,2023,ATIVO,Riacho Doce,Maceió
45,4303360247,Srta. Natália Fernandes,4,2024,TRANCADO,Jaraguá,Maceió
46,5683138931,Caleb Teixeira,5,2025,TRANCADO,Jatiúca,Maceió
47,5121195028,Maria Flor Monteiro,5,2026,ATIVO,Levada,Maceió
48,2800542541,João Felipe Moraes,6,2023,TRANCADO,Santo Amaro,Maceió
49,8123049301,Vicente Correia,6,2024,ATIVO,Prado,Maceió
