id_estudante,matricula,nome,id_curso,ano_ingresso,situacao,bairro,cidade
1,2746317213,João Guilherme da Cruz,7,2024,ATIVO,Ponta Verde,Maceió
2,958682846,Ísis Borges,2,2022,ATIVO,Senador Nilo Coelho,Arapiraca
3,6831113321,Arthur Borges,5,2022,ATIVO,Jacintinho,Maceió
4,939042955,Amanda Novais,5,2024,ATIVO,Rio Novo,Maceió
5,9443935785,Ísis Leão,5,2024,ATIVO,Pontal da Barra,Maceió
6,5241752544,Lara Abreu,3,2026,ATIVO,São Jorge,Maceió
7,9275666116,Manuela da Mota,5,2022,ATIVO,Cruz das Almas,Maceió
8,667779376,Caleb Garcia,4,2026,ATIVO,Clima Bom,Maceió
9,4710360983,Augusto Siqueira,3,2023,ATIVO,Canaã,Maceió
10,8256195745,Yuri da Rocha,3,2024,ATIVO,Santa Lúcia,Maceió
11,7995970241,Evelyn Santos,7,2026,ATIVO,Feitosa,Maceió
12,298737106,Heloísa Vargas,7,2022,ATIVO,Ponta Grossa,Maceió
13,4728765136,Rafael Porto,4,2023,ATIVO,Jardim Petrópolis,Maceió
14,7877444318,Léo Fogaça,5,2023,ATIVO,Riacho Doce,Maceió
15,9489760430,Brayan Pereira,3,2025,ATIVO,Santo Amaro,Maceió
16,2727210979,Isabelly Castro,4,2024,ATIVO,Chã de Bebedouro,Maceió
17,6280359794,Henry Rodrigues,1,2026,ATIVO,Ipioca,Maceió
18,240251661,Levi Guerra,5,2026,ATIVO,Jatiúca,Maceió
19,1149938334,Levi Cunha,3,2023,ATIVO,Bebedouro,Maceió
20,7110054933,Natália Casa Grande,1,2023,ATIVO,Canaã,Maceió
21,1137651678,Vitor Gabriel da Luz,2,2023,ATIVO,Pedro Sales de Barros,Olho d'Água das Flores
22,6801222128,Davi Miguel Moraes,7,2022,ATIVO,Ouro Preto,Maceió
23,2119634399,Daniel Cassiano,6,2025,ATIVO,Santos Dumont,Maceió
24,2694860228,Mariana Peixoto,6,2023,ATIVO,Bom Parto,Maceió
25,4567816720,Nina Moura,1,2022,ATIVO,Porto de Vacas,Barra de São Miguel
26,4047709743,Bruna Rodrigues,5,2022,ATIVO,Gruta de Lourdes,Maceió
27,7519962896,Manuela Camargo,3,2025,ATIVO,Fernão Velho,Maceió
28,5555540744,Rafael Abreu,4,2025,ATIVO,Rio Novo,Maceió
29,9357238580,Kaique Porto,6,2022,ATIVO,Levada,Maceió
30,854316681,Vitor Hugo Vasconcelos,6,2026,ATIVO,Santa Amélia,Maceió
31,3944899549,Luna Mendonça,5,2022,ATIVO,Tabuleiro do Martins,Maceió
32,83651970,Isaque Araújo,3,2026,ATIVO,Bom Parto,Maceió
33,338258951,Ana Lívia Teixeira,3,2026,ATIVO,Santo Amaro,Maceió
34,540137296,Olívia Novaes,4,2025,ATIVO,Trapiche da Barra,Maceió
35,5004182187,Mariana Cunha,1,2025,ATIVO,Santa Lúcia,Maceió
36,2962958940,Maria Liz Rios,2,2025,ATIVO,Fernão Velho,Maceió
37,7086172302,Stella Machado,3,2023,ATIVO,Ponta da Terra,Maceió
38,519709079,Benício Fernandes,6,2024,ATIVO,Serraria,Maceió
39,8680276057,Heloísa Pastor,5,2026,ATIVO,Antares,Maceió
40,945826486,Bento da Conceição,1,2026,ATIVO,Bebedouro,Maceió
41,1419179580,Isabela da Mota,5,2022,ATIVO,Ponta da Terra,Maceió
42,7168204967,Vitor Hugo Cardoso,6,2024,ATIVO,Tabuleiro do Martins,Maceió
43,6769777475,Renan Jesus,7,2026,ATIVO,Santa Amélia,Maceió
44,817804383,Pedro Fogaça,2,2026,ATIVO,Cruz das Almas,Maceió
45,6114223633,Ana Júlia Rocha,1,2023,ATIVO,Farol,Maceió
46,2775320897,Nathan Siqueira,7,2022,ATIVO,Pontal da Barra,Maceió
47,3700855390,Gael Correia,4,2026,ATIVO,Ponta Grossa,Maceió
48,6598297060,Otávio Cirino,1,2024,ATIVO,Santa Lúcia,Maceió
49,5491309593,Breno Macedo,5,2025,ATIVO,Serraria,Maceió
50,420514789,Ágatha Albuquerque,2,2023,ATIVO,Jardim Petrópolis,Maceió
51,4161807235,Enzo Jesus,1,2023,ATIVO,Riacho Doce,Maceió
52,6380780055,Murilo Araújo,3,2026,ATIVO,Pajuçara,Maceió
53,5002078344,Mathias da Luz,5,2023,ATIVO,Santos Dumont,Maceió
54,7667072205,Otávio Sampaio,7,2024,ATIVO,Jatiúca,Maceió
55,7380507338,Gabriel da Rocha,1,2024,ATIVO,Clima Bom,Maceió
56,8841118422,Ana Liz Souza,6,2025,ATIVO,Fernão Velho,Maceió
57,1346922426,Rhavi Montenegro,2,2024,ATIVO,Jatiúca,Maceió
58,2281169403,Thomas Barros,4,2024,ATIVO,Pescaria,Maceió
59,3656488400,Bernardo Rocha,5,2022,ATIVO,Pinheiro,Maceió
60,3701485292,Bárbara Nunes,1,2024,ATIVO,Prado,Maceió
61,9647421460,Ana Cecília Pinto,5,2023,ATIVO,Chã da Jaqueira,Maceió
62,4647083348,Stephany Dias,1,2022,ATIVO,Rio Novo,Maceió
63,8309500117,Levi da Costa,6,2022,ATIVO,Pitanguinha,Maceió
64,5435772945,Kaique Marques,4,2026,ATIVO,Ponta Verde,Maceió
65,311570307,Beatriz Barbosa,5,2024,ATIVO,Bebedouro,Maceió
66,2309122187,Julia Cardoso,4,2023,ATIVO,Ponta da Terra,Maceió
67,8303285822,Joaquim Freitas,7,2026,ATIVO,Fernão Velho,Maceió
68,1224011538,Ísis Santos,2,2025,ATIVO,Ipioca,Maceió
69,9889235814,Vitória Albuquerque,4,2024,ATIVO,Canaã,Maceió
70,6676965974,Bella Carvalho,2,2026,ATIVO,Santa Lúcia,Maceió
71,1135872495,Yuri Cassiano,5,2023,ATIVO,Trapiche da Barra,Maceió
72,5464693977,Giovanna Silva,5,2026,ATIVO,Cruz das Almas,Maceió
73,1472659626,Julia Montenegro,6,2025,ATIVO,Cidade Universitária,Maceió
74,6393195616,Caleb Porto,2,2025,ATIVO,Bebedouro,Maceió
75,1188332531,Lucas Gabriel Vargas,3,2023,ATIVO,Gruta de Lourdes,Maceió
76,9151800736,Enrico Sousa,5,2024,ATIVO,Feitosa,Maceió
77,7325785916,Alexia Camargo,1,2022,ATIVO,Pescaria,Maceió
78,3882343658,Ana Carolina Freitas,5,2024,ATIVO,São Francisco,Palmeira dos Índios
79,4931025271,Asafe das Neves,5,2026,ATIVO,Gruta de Lourdes,Maceió
80,1536778950,Isadora Rios,6,2025,ATIVO,Levada,Maceió
81,4736462531,Maria Luísa Pinto,7,2022,ATIVO,Santa Amélia,Maceió
82,3218981849,Enrico Cavalcanti,2,2026,ATIVO,Levada,Maceió
83,8080621072,Felipe Sousa,4,2025,ATIVO,Jardim Petrópolis,Maceió
84,8265609985,Isadora da Mata,5,2023,ATIVO,Antares,Maceió
85,3011966884,Ana Carolina Melo,1,2026,ATIVO,Fernão Velho,Maceió
86,955345537,Marcela das Neves,2,2023,ATIVO,Feitosa,Maceió
87,3742303947,Apollo Ribeiro,6,2022,ATIVO,Prado,Maceió
88,5124453431,Bernardo Vargas,7,2024,ATIVO,Mutange,Maceió
89,5493800024,Sophia Guerra,6,2025,ATIVO,Petrópolis,Maceió
90,118543408,Felipe Pacheco,2,2025,ATIVO,Ponta Verde,Maceió
91,1140169349,Pedro Henrique Ferreira,5,2023,ATIVO,Alto de São Marcos,Barra de São Miguel
92,5642201119,Sophia Camargo,1,2026,ATIVO,Pitanguinha,Maceió
93,2476426797,Augusto Santos,3,2023,ATIVO,Clima Bom,Maceió
94,1872852789,Zoe Rodrigues,5,2026,ATIVO,Mangabeiras,Maceió
95,2880327491,Bernardo Rios,6,2024,ATIVO,Serraria,Maceió
96,8249648005,Luara Ribeiro,4,2026,ATIVO,Feitosa,Maceió
97,3642197907,Sofia das Neves,7,2025,ATIVO,Raimundo Marinho,Penedo
98,7159250505,Juan Novaes,7,2023,ATIVO,Ponta Verde,Maceió
99,546696950,Maria Helena Rocha,3,2023,ATIVO,Pitanguinha,Maceió
100,9337376324,Liz Guerra,4,2026,ATIVO,Jaraguá,Maceió
101,4296710795,Gustavo Henrique Lopes,4,2025,ATIVO,Fernão Velho,Maceió
102,5679017210,Melina Rocha,2,2026,ATIVO,Barro Duro,Maceió
103,9507775130,Eloá Ribeiro,6,2025,ATIVO,Pitanguinha,Maceió
104,4659161352,Lívia Borges,1,2023,ATIVO,Prado,Maceió
105,3226113732,Luana Câmara,5,2022,ATIVO,Riacho Doce,Maceió
106,3464161270,Apollo Aparecida,5,2022,ATIVO,Ponta da Terra,Maceió
107,4607762160,Evelyn Silva,2,2026,ATIVO,Santa Lúcia,Maceió
108,7285786023,Maria Liz da Cruz,7,2025,ATIVO,Antares,Maceió
109,9223748676,Bianca Vasconcelos,7,2022,ATIVO,Jatiúca,Maceió
110,1825989011,Valentim Martins,2,2025,ATIVO,Ouro Preto,Maceió
111,8805620900,Davi Marques,3,2026,ATIVO,Levada,Maceió
112,9273512584,Milena da Luz,7,2026,ATIVO,Trapiche da Barra,Maceió
113,3228856718,Kamilly Vargas,3,2025,ATIVO,Chã da Jaqueira,Maceió
114,5322520473,Ana Vitória Silva,3,2026,ATIVO,Canaã,Maceió
115,1227193073,Lucas Gabriel Dias,3,2023,ATIVO,Mutange,Maceió
116,346078411,Igor Gomes,1,2026,ATIVO,Alto do Cruzeiro,Arapiraca
117,2980491761,Ana Luiza Leão,3,2025,ATIVO,Guaribas,Arapiraca
118,6045593274,Nina Leão,4,2026,ATIVO,Cidade Universitária,Maceió
119,267429212,Maria Julia Vargas,4,2026,ATIVO,Ponta da Terra,Maceió
120,2987248494,Maria Helena Mendes,6,2025,ATIVO,Guaxuma,Maceió
121,5805759868,Mariah Nascimento,5,2026,ATIVO,Mutange,Maceió
122,5242173772,João Gabriel Lopes,5,2026,ATIVO,Jatiúca,Maceió
123,2085816511,Maitê Rios,5,2024,ATIVO,Jacarecica,Maceió
124,116402431,Mariane Carvalho,6,2023,ATIVO,Mangabeiras,Maceió
125,8018065507,Benicio da Luz,1,2023,ATIVO,Santa Lúcia,Maceió
126,5923206003,Rafael Duarte,2,2022,ATIVO,Santos Dumont,Maceió
127,8072992279,Otto da Cunha,7,2024,ATIVO,Mangabeiras,Maceió
128,3585915088,Allana Souza,6,2022,ATIVO,Riacho Doce,Maceió
129,2316787198,Bernardo Vasconcelos,1,2022,ATIVO,Rio Novo,Maceió
130,1062073697,Eduardo da Costa,5,2025,ATIVO,Petrópolis,Maceió
131,4837082260,Bruna Nunes,2,2024,ATIVO,Gruta de Lourdes,Maceió
132,4070585433,Jade Vargas,6,2025,ATIVO,Bebedouro,Maceió
133,1584392711,Bruna Vasconcelos,5,2026,ATIVO,Mangabeiras,Maceió
134,3518871744,Cauê Pacheco,1,2023,ATIVO,Prado,Maceió
135,9929780763,Maria Flor Gonçalves,1,2023,ATIVO,Pajuçara,Maceió
136,851819913,Isabelly Caldeira,3,2023,ATIVO,Poço,Maceió
137,3459716271,Ana Cecília Ferreira,5,2026,ATIVO,Prado,Maceió
138,6583090712,Maria Eduarda Azevedo,2,2022,ATIVO,Riacho Doce,Maceió
139,1465576748,Rebeca Caldeira,1,2023,ATIVO,Santa Amélia,Maceió
140,4952059278,Vicente Rezende,7,2025,ATIVO,Guaxuma,Maceió
141,9749929638,Rafaela Martins,4,2026,ATIVO,Mangabeiras,Maceió
142,5447717367,Caio da Mota,6,2022,ATIVO,Antares,Maceió
143,8081544414,Ravi Nunes,3,2026,ATIVO,Ponta Grossa,Maceió
144,5922713963,Thales Duarte,3,2024,ATIVO,Jardim Petrópolis,Maceió
145,5075963527,Luiz Gustavo da Luz,4,2025,ATIVO,Farol,Maceió
146,5756711494,Kamilly Novais,2,2025,ATIVO,Gruta de Lourdes,Maceió
147,8633533290,Bryan da Costa,1,2026,ATIVO,Ponta Grossa,Maceió
148,7387664437,Isabella Sales,7,2026,ATIVO,Chã de Bebedouro,Maceió
149,7352307139,Allana Borges,7,2026,ATIVO,Ponta da Terra,Maceió
150,1263732197,Isabelly das Neves,4,2026,ATIVO,Pajuçara,Maceió
151,5879898071,Vitória Ferreira,7,2024,ATIVO,Garça Torta,Maceió
152,5715705115,Júlia das Neves,5,2022,ATIVO,Pedro Sales de Barros,Olho d'Água das Flores
