id_estudante,matricula,nome,id_curso,ano_ingresso,bairro,cidade,freq_media,total_reprovacoes,total_disciplinas,risco_evasao
1,6030039913,Felipe da Conceição,5,2022,Centro,Maceió,0.76,2,5,MEDIO
2,1067004398,José Siqueira,5,2024,Rio Novo,Maceió,0.88,0,5,BAIXO
3,2313394522,Rebeca Costa,6,2022,Poço,Maceió,0.77,1,5,MEDIO
4,2930751749,Ravi Ribeiro,5,2026,Tabuleiro do Martins,Maceió,0.69,5,5,MEDIO
5,6729848709,Vinícius Rocha,3,2023,Benedito Bentes,Maceió,0.89,0,5,BAIXO
6,3326338643,Luara Guerra,5,2026,Ponta Verde,Maceió,0.62,5,5,ALTO
7,4478153977,Alana Lima,6,2026,Poço,Maceió,0.91,0,5,BAIXO
8,5170128796,Anna Liz Martins,4,2024,Riacho Doce,Maceió,0.93,0,5,BAIXO
9,9440681269,Ana Júlia Fogaça,7,2024,Pajuçara,Maceió,0.52,5,5,ALTO
10,554650892,Melina Peixoto,7,2025,Tabuleiro do Martins,Maceió,0.92,0,5,BAIXO
11,756012761,Antônio Cavalcante,1,2025,Serraria,Maceió,0.92,0,5,BAIXO
12,7815414831,Otávio Pires,3,2023,Gruta de Lourdes,Maceió,0.79,0,5,MEDIO
13,369448323,André Garcia,2,2024,Santa Amélia,Maceió,0.94,0,5,BAIXO
14,1416040795,Maria Luiza Costa,7,2023,Poço,Maceió,0.89,0,5,BAIXO
15,4182570672,Hadassa Macedo,1,2024,Garça Torta,Maceió,0.88,0,5,BAIXO
16,9696217564,Carolina Fogaça,2,2022,Santo Amaro,Maceió,0.52,5,5,ALTO
17,239735157,Clarice Pereira,1,2023,Ponta da Terra,Maceió,0.88,0,5,BAIXO
18,8337491057,Calebe Campos,4,2024,Ponta Grossa,Maceió,0.94,0,5,BAIXO
19,4911992648,Felipe Jesus,7,2026,Clima Bom,Maceió,0.55,5,5,ALTO
20,6704296769,Isabel da Cunha,4,2026,Pajuçara,Maceió,0.92,0,5,BAIXO
21,7826927051,Brayan Montenegro,3,2024,Ipioca,Maceió,0.78,0,5,MEDIO
22,1235723455,Ana Julia Fernandes,2,2026,Cruz das Almas,Maceió,0.75,3,5,MEDIO
23,5224063897,Maitê Guerra,2,2025,Cruz das Almas,Maceió,0.53,5,5,ALTO
24,5952566896,Fernando Andrade,2,2023,Petrópolis,Maceió,0.94,0,5,BAIXO
25,8259377416,Melina da Conceição,2,2024,Levada,Maceió,0.94,0,5,BAIXO
26,2810343449,Luana Caldeira,4,2024,Santa Lúcia,Maceió,0.78,0,5,MEDIO
27,7390458648,Josué Gomes,3,2022,Centro,Maceió,0.53,5,5,ALTO
28,5567895705,Pedro Lucas Leão,2,2023,Fernão Velho,Maceió,0.74,3,5,MEDIO
29,1100424496,Laís Rodrigues,1,2024,Ipioca,Maceió,0.89,0,5,BAIXO
30,8051315849,Yasmin Cardoso,4,2023,Fernão Velho,Maceió,0.52,5,5,ALTO
31,5398068477,Nicolas Ribeiro,6,2022,Fernão Velho,Maceió,0.52,5,5,ALTO
32,4979670215,Maysa Correia,1,2026,Jacarecica,Maceió,0.68,5,5,MEDIO
33,5926301240,Luiz Felipe Abreu,3,2022,Chã de Bebedouro,Maceió,0.92,0,5,BAIXO
34,7159973813,Evelyn Rios,5,2025,Ponta da Terra,Maceió,0.96,0,5,BAIXO
35,2868251449,Joana Ribeiro,2,2024,Centro,Maceió,0.98,0,5,BAIXO
36,3033363847,Manuella Ribeiro,6,2026,Centro,Maceió,0.73,3,5,MEDIO
37,1717560104,Theodoro Nascimento,5,2025,Santa Izabel,Penedo,0.8,0,5,MEDIO
38,869721873,Luana Rocha,4,2024,Mutange,Maceió,0.74,2,5,MEDIO
39,4253969137,Melina Costela,7,2026,Santos Dumont,Maceió,0.89,0,5,BAIXO
40,9723404536,Nina Novais,2,2025,Antares,Maceió,0.89,0,5,BAIXO
41,7597523236,Antônio Caldeira,4,2024,Centro,Maceió,0.48,5,5,ALTO
42,7758328789,Arthur Gabriel Araújo,5,2025,Feitosa,Maceió,0.74,3,5,MEDIO
43,6084993487,Gael Sá,4,2022,Jatiúca,Maceió,0.97,0,5,BAIXO
44,5990023568,João Marques,6,2026,Jaraguá,Maceió,0.59,5,5,ALTO
45,1413288224,Pietro Sales,1,2025,Ipioca,Maceió,0.55,5,5,ALTO
46,7309350318,Emanuelly Fonseca,3,2024,Mutange,Maceió,0.78,1,5,MEDIO
47,1074462052,Ravi Oliveira,4,2024,Jacintinho,Maceió,0.76,2,5,MEDIO
48,7300377424,Rhavi Oliveira,6,2023,Santa Lúcia,Maceió,0.54,5,5,ALTO
49,8910963513,Raul Moreira,6,2026,Jatiúca,Maceió,0.91,0,5,BAIXO
50,66198243,Brayan Farias,2,2024,Pescaria,Maceió,0.74,2,5,MEDIO
51,8606859121,Yasmin da Mota,7,2023,Barra Mar,Barra de São Miguel,0.77,1,5,MEDIO
52,2720894147,Luiza Jesus,3,2026,Santo Antônio,Penedo,0.95,0,5,BAIXO
53,1123294482,Benicio Gonçalves,7,2023,Pontal da Barra,Maceió,0.92,0,5,BAIXO
54,155227210,João Vitor Castro,1,2025,Poço,Maceió,0.76,2,5,MEDIO
55,7893436197,Oliver da Conceição,5,2025,Rio Novo,Maceió,0.94,0,5,BAIXO
56,3458970497,Ryan Cavalcante,1,2024,Poço,Maceió,0.94,0,5,BAIXO
57,5466640549,Maria Clara Barbosa,1,2025,Pitanguinha,Maceió,0.52,5,5,ALTO
58,2400888493,Yasmin Barros,3,2023,Pedro Sales de Barros,Olho d'Água das Flores,0.79,0,5,MEDIO
59,9077691860,Davi Miguel Cassiano,5,2024,Jacintinho,Maceió,0.73,4,5,MEDIO
60,2342145071,Théo Ramos,6,2026,Benedito Bentes,Maceió,0.93,0,5,BAIXO
