id_estudante,matricula,nome,id_curso,ano_ingresso,situacao,bairro,cidade
1,2454155475,Rafaela Oliveira,1,2023,ATIVO,Ouro Preto,Maceió
2,63704871,Rebeca da Mota,6,2023,TRANCADO,Pinheiro,Maceió
3,688180719,Rebeca Duarte,2,2024,ATIVO,Pinheiro,Maceió
4,326801271,Ana Clara Leão,4,2025,ATIVO,Chã da Jaqueira,Maceió
5,3694363523,Maria Garcia,2,2024,ATIVO,Santo Amaro,Maceió
6,6104282371,Julia Marques,7,2023,ATIVO,Chã da Jaqueira,Maceió
7,9340139052,Luiz Miguel Carvalho,1,2023,ATIVO,Pedro Sales de Barros,Olho d'Água das Flores
8,1611656385,Alana da Costa,7,2023,ATIVO,Jacarecica,Maceió
9,575407617,Vitor Gabriel Fonseca,4,2022,ATIVO,Ponta Grossa,Maceió
10,5326542329,Milena Lopes,2,2023,TRANCADO,Jacintinho,Maceió
11,2018522846,Lunna Montenegro,4,2024,ATIVO,Pedro Sales de Barros,Olho d'Água das Flores
12,1773264063,Arthur Gabriel Monteiro,7,2022,ATIVO,Santa Lúcia,Maceió
13,8899321570,Dom Gomes,5,2023,EVADIDO,Pontal da Barra,Maceió
14,2582583383,Calebe Macedo,4,2023,ATIVO,Vergel do Lago,Maceió
15,3467970294,Oliver Machado,4,2025,EVADIDO,Palmeira de Fora,Palmeira dos Índios
16,9644271206,Diego Pinto,5,2026,ATIVO,Santo Amaro,Maceió
17,2241358555,João Felipe Marques,3,2023,ATIVO,Chã de Bebedouro,Maceió
18,1299528385,Emanuella Vasconcelos,4,2024,ATIVO,Cruz das Almas,Maceió
19,5051265685,Pedro Henrique Câmara,6,2022,ATIVO,Fernão Velho,Maceió
20,8611446242,Luísa Dias,3,2025,ATIVO,Jacintinho,Maceió
21,1042056481,Pietro Guerra,7,2025,ATIVO,Clima Bom,Maceió
22,2503317276,Sabrina Rocha,3,2026,ATIVO,Garça Torta,Maceió
23,3837454326,Júlia Moreira,4,2025,ATIVO,Pinheiro,Maceió
24,2146968301,Samuel Rocha,5,2024,ATIVO,Chã da Jaqueira,Maceió
25,1722839737,Ágatha Pacheco,5,2025,ATIVO,Pinheiro,Maceió
26,5960642670,Maysa Brito,7,2022,TRANCADO,Mutange,Maceió
27,4307123878,Ana Luiza Aragão,1,2023,ATIVO,Bom Parto,Maceió
28,1501683619,Cauê Pereira,7,2025,TRANCADO,Pescaria,Maceió
29,2083296877,Maya Vasconcelos,4,2024,ATIVO,Ouro Preto,Maceió
30,6215193351,Natália Lima,3,2026,ATIVO,Santos Dumont,Maceió
31,2247939585,Luna Pinto,3,2026,ATIVO,Cidade Universitária,Maceió
32,8731237240,Rhavi Alves,5,2026,ATIVO,Farol,Maceió
33,3468567769,Pedro Henrique da Cruz,1,2024,ATIVO,Petrópolis,Maceió
34,7379794843,Augusto Peixoto,1,2022,ATIVO,Garça Torta,Maceió
35,4133386039,Enrico Rios,1,2024,ATIVO,Ponta Grossa,Maceió
36,2050099710,Gael Ferreira,5,2025,ATIVO,Petrópolis,Maceió
37,784021141,Evelyn Lima,2,2022,EVADIDO,Farol,Maceió
38,9002255431,Ravi Souza,1,2024,ATIVO,Ouro Preto,Maceió
39,7397971615,Giovanna da Mata,7,2026,TRANCADO,Pescaria,Maceió
40,6861341724,André Costela,5,2023,ATIVO,Pajuçara,Maceió
41,857879948,Aurora Araújo,7,2022,ATIVO,Jatiúca,Maceió
42,5789635201,Otávio Teixeira,4,2023,ATIVO,Riacho Doce,Maceió
43,9421526480,Nina Sales,7,2022,ATIVO,Ouro Preto,Maceió
44,9852661125,Sofia da Luz,7,2023,ATIVO,Jatiúca,Maceió
45,6032536087,Manuela Ferreira,3,2026,ATIVO,Ipioca,Maceió
46,7415460310,Melissa Mendes,6,2024,ATIVO,Gruta de Lourdes,Maceió
47,6816919141,Vitor Hugo Silveira,4,2025,ATIVO,Guaxuma,Maceió
48,7396255210,Oliver Silveira,6,2024,ATIVO,Canaã,Maceió
49,2423387050,Lorena Almeida,2,2026,EVADIDO,Mangabeiras,Maceió
50,6836610737,Luna Barbosa,6,2024,ATIVO,Centro Histórico,Penedo
51,7475141984,Maria Fernanda da Paz,1,2025,ATIVO,Porto de Vacas,Barra de São Miguel
52,2601636739,Enzo Gabriel das Neves,2,2023,ATIVO,Ipioca,Maceió
53,8999903083,Henry Nunes,1,2023,ATIVO,Ponta Grossa,Maceió
54,3199375674,Evelyn Nunes,2,2026,EVADIDO,Bom Parto,Maceió
55,4363893419,Lucca Oliveira,7,2026,EVADIDO,Pajuçara,Maceió
56,9409352945,Lunna Aragão,5,2023,ATIVO,Centro,Barra de São Miguel
57,2483596669,Luiz Otávio Gonçalves,7,2024,ATIVO,Pontal da Barra,Maceió
58,9983914200,Eloá Vargas,1,2022,ATIVO,Santa Lúcia,Maceió
59,677469716,Manuella Cavalcante,6,2023,ATIVO,Mangabeiras,Maceió
60,8723674406,Sophia Ferreira,7,2024,ATIVO,Chã de Bebedouro,Maceió
61,4673813811,Marcela Araújo,5,2026,ATIVO,Centro,Penedo
62,8012533814,Milena Silveira,5,2024,ATIVO,Canaã,Maceió
63,2594884963,Luigi Novais,5,2025,ATIVO,Pajuçara,Maceió
64,6497492469,Evelyn Brito,7,2025,ATIVO,Prado,Maceió
65,655235362,Gabriel Nunes,5,2025,EVADIDO,Jaraguá,Maceió
66,8164529610,Maria Flor Aragão,2,2022,ATIVO,Centro,Maceió
67,2600194874,Leonardo Câmara,2,2026,ATIVO,Cruz das Almas,Maceió
68,8802716051,Carlos Eduardo Porto,1,2026,ATIVO,Jatiúca,Maceió
