id_estudante,matricula,nome,id_curso,ano_ingresso,situacao,bairro,cidade,idade
1,6030039913,Felipe da Conceição,2,2023,ATIVO,Farol,Maceió,20
2,1067004398,José Siqueira,5,2026,ATIVO,Gruta de Lourdes,Maceió,18
3,2313394522,Rebeca Costa,6,2026,ATIVO,Pinheiro,Maceió,34
4,2930751749,Ravi Ribeiro,7,2023,TRANCADO,Jatiúca,Maceió,20
5,6729848709,Vinícius Rocha,3,2022,TRANCADO,Cruz das Almas,Maceió,32
6,3326338643,Luara Guerra,4,2022,ATIVO,Canaã,Maceió,24
7,4478153977,Alana Lima,5,2022,ATIVO,Ouro Preto,Maceió,30
8,5170128796,Anna Liz Martins,1,2024,ATIVO,Farol,Maceió,20
9,9440681269,Ana Júlia Fogaça,7,2025,ATIVO,São Jorge,Maceió,35
10,554650892,Melina Peixoto,6,2023,EVADIDO,Cruz das Almas,Maceió,17
11,756012761,Antônio Cavalcante,7,2025,ATIVO,Clima Bom,Maceió,18
12,7815414831,Otávio Pires,3,2026,ATIVO,Rio Novo,Maceió,16
13,369448323,André Garcia,2,2022,ATIVO,Chã da Jaqueira,Maceió,22
14,1416040795,Maria Luiza Costa,7,2023,ATIVO,Ponta da Terra,Maceió,27
15,4182570672,Hadassa Macedo,2,2026,EVADIDO,Petrópolis,Maceió,20
16,9696217564,Carolina Fogaça,1,2023,ATIVO,Mutange,Maceió,25
17,239735157,Clarice Pereira,2,2026,ATIVO,Cruz das Almas,Maceió,26
18,8337491057,Calebe Campos,1,2024,TRANCADO,Fernão Velho,Maceió,21
19,4911992648,Felipe Jesus,5,2022,ATIVO,Pitanguinha,Maceió,26
20,6704296769,Isabel da Cunha,7,2025,ATIVO,Mangabeiras,Maceió,28
21,7826927051,Brayan Montenegro,2,2022,ATIVO,Jatiúca,Maceió,27
22,1235723455,Ana Julia Fernandes,2,2024,ATIVO,Mangabeiras,Maceió,23
23,5224063897,Maitê Guerra,6,2024,ATIVO,Jacarecica,Maceió,22
24,5952566896,Fernando Andrade,2,2025,ATIVO,São Jorge,Maceió,25
25,8259377416,Melina da Conceição,4,2024,TRANCADO,Canaã,Maceió,18
26,2810343449,Luana Caldeira,7,2025,TRANCADO,Santo Amaro,Maceió,33
27,7390458648,Josué Gomes,3,2025,ATIVO,Gruta de Lourdes,Maceió,35
28,5567895705,Pedro Lucas Leão,5,2026,ATIVO,Levada,Maceió,30
29,1100424496,Laís Rodrigues,3,2022,TRANCADO,Jaraguá,Maceió,27
30,8051315849,Yasmin Cardoso,6,2023,TRANCADO,Farol,Maceió,24
31,5398068477,Nicolas Ribeiro,6,2023,ATIVO,Tabuleiro do Martins,Maceió,29
32,4979670215,Maysa Correia,1,2022,ATIVO,Jardim Petrópolis,Maceió,32
33,5926301240,Luiz Felipe Abreu,6,2023,ATIVO,Antares,Maceió,32
34,7159973813,Evelyn Rios,3,2025,EVADIDO,Pajuçara,Maceió,30
35,2868251449,Joana Ribeiro,6,2026,ATIVO,Rio Novo,Maceió,25
36,3033363847,Manuella Ribeiro,7,2024,EVADIDO,Barro Duro,Maceió,18
37,1717560104,Theodoro Nascimento,3,2026,ATIVO,Benedito Bentes,Maceió,34
38,869721873,Luana Rocha,7,2025,ATIVO,Farol,Maceió,28
39,4253969137,Melina Costela,2,2023,ATIVO,Gruta de Lourdes,Maceió,30
40,9723404536,Nina Novais,4,2026,ATIVO,Santos Dumont,Maceió,21
41,7597523236,Antônio Caldeira,5,2025,ATIVO,Feitosa,Maceió,21
42,7758328789,Arthur Gabriel Araújo,6,2025,ATIVO,Petrópolis,Maceió,21
43,6084993487,Gael Sá,5,2022,EVADIDO,Paraíso,Palmeira dos Índios,19
44,5990023568,João Marques,6,2022,ATIVO,Pinheiro,Maceió,34
45,1413288224,Pietro Sales,5,2024,ATIVO,Guaxuma,Maceió,29
46,7309350318,Emanuelly Fonseca,1,2025,ATIVO,Chã da Jaqueira,Maceió,17
47,1074462052,Ravi Oliveira,7,2024,ATIVO,Pitanguinha,Maceió,21
48,7300377424,Rhavi Oliveira,4,2023,ATIVO,Benedito Bentes,Maceió,22
49,8910963513,Raul Moreira,6,2024,ATIVO,Clima Bom,Maceió,18
50,66198243,Brayan Farias,2,2024,ATIVO,Farol,Maceió,33
51,8606859121,Yasmin da Mota,2,2023,ATIVO,Santo Amaro,Maceió,20
52,2720894147,Luiza Jesus,6,2025,ATIVO,Bebedouro,Maceió,21
53,1123294482,Benicio Gonçalves,5,2026,ATIVO,São Jorge,Maceió,21
54,155227210,João Vitor Castro,7,2025,TRANCADO,Benedito Bentes,Maceió,22
55,7893436197,Oliver da Conceição,4,2026,ATIVO,Tabuleiro do Martins,Maceió,16
56,3458970497,Ryan Cavalcante,7,2023,ATIVO,Santo Amaro,Maceió,34
57,5466640549,Maria Clara Barbosa,1,2023,TRANCADO,Prado,Maceió,21
58,2400888493,Yasmin Barros,5,2022,ATIVO,Jatiúca,Maceió,34
59,9077691860,Davi Miguel Cassiano,2,2022,EVADIDO,Jacarecica,Maceió,25
60,2342145071,Théo Ramos,4,2025,ATIVO,Ipioca,Maceió,18
61,1628845545,Enrico Fernandes,3,2024,ATIVO,Clima Bom,Maceió,26
62,3320760466,Gabriel das Neves,3,2026,ATIVO,Bebedouro,Maceió,23
63,9361205027,Diogo Monteiro,7,2024,ATIVO,Santos Dumont,Maceió,28
64,3993444391,Marcos Vinicius Rodrigues,2,2023,EVADIDO,São Jorge,Maceió,32
65,3407114526,Pedro Miguel Siqueira,6,2024,ATIVO,Benedito Bentes,Maceió,21
66,3510129956,Pedro Miguel Freitas,5,2022,ATIVO,Centro,Maceió,22
67,5381603392,Ana Clara Pacheco,1,2024,ATIVO,Cruz das Almas,Maceió,21
68,1703068554,Emanuel Cardoso,6,2022,ATIVO,Ouro Preto,Maceió,32
69,4052918015,Juan da Rocha,5,2023,ATIVO,Pajuçara,Maceió,26
70,4825846227,Ana Sophia Aparecida,1,2024,EVADIDO,Petrópolis,Maceió,32
71,1519310518,Luiza Farias,2,2022,ATIVO,Serraria,Maceió,29
72,7146786200,Marcos Vinicius da Mata,6,2023,ATIVO,Cruz das Almas,Maceió,21
73,2621101043,Clarice Sales,5,2026,ATIVO,Gruta de Lourdes,Maceió,33
74,2896453689,Murilo Leão,6,2025,ATIVO,Garça Torta,Maceió,28
75,978519726,Maria Luísa Aragão,3,2026,ATIVO,Bom Parto,Maceió,26
76,911232692,Joana Castro,1,2022,ATIVO,Centro,Maceió,29
77,4698507403,Arthur Costa,6,2024,EVADIDO,Farol,Maceió,21
78,4094678006,Letícia Araújo,5,2026,ATIVO,Santa Lúcia,Maceió,25
79,1093493873,Marina Cassiano,3,2025,ATIVO,Jatiúca,Maceió,20
80,2764117178,Maria Laura Machado,4,2022,ATIVO,Poço,Maceió,16
81,317923298,Isabel Fernandes,7,2025,ATIVO,Cidade Universitária,Maceió,16
82,1866876238,Ayla Freitas,2,2026,TRANCADO,Jacintinho,Maceió,20
83,2155911792,Ryan Costela,2,2023,ATIVO,Barro Duro,Maceió,26
84,4726426617,Gabriela Cavalcanti,6,2022,EVADIDO,Trapiche da Barra,Maceió,29
85,4873129228,Emanuella Rodrigues,7,2024,ATIVO,Ouro Preto,Maceió,31
86,1101782397,Stella Rocha,6,2024,ATIVO,Levada,Maceió,26
87,331780818,Vinicius da Conceição,2,2022,ATIVO,Chã de Bebedouro,Maceió,17
88,6103136578,Ana Sophia da Costa,3,2024,ATIVO,Jacintinho,Maceió,35
89,5370845373,Lívia Monteiro,4,2026,ATIVO,Feitosa,Maceió,16
90,812129983,Ana Andrade,4,2022,ATIVO,Gruta de Lourdes,Maceió,16
91,1875860531,Benicio Ribeiro,7,2025,EVADIDO,Trapiche da Barra,Maceió,29
92,1257795741,José Miguel Albuquerque,2,2026,ATIVO,Trapiche da Barra,Maceió,33
93,1268442827,Bruna Castro,4,2023,EVADIDO,Centro,Maceió,18
94,5774879958,Leandro Moura,4,2024,ATIVO,Guaxuma,Maceió,35
95,1118315482,Ana Laura Alves,1,2023,ATIVO,Barro Duro,Maceió,29
96,1524495730,Bruno Garcia,5,2022,ATIVO,Santa Lúcia,Maceió,16
97,4372532160,Joaquim Nascimento,6,2022,ATIVO,Jacintinho,Maceió,16
98,318090145,Felipe Cunha,2,2024,ATIVO,Santa Luzia,Penedo,21
99,5248961800,Jade Teixeira,2,2025,ATIVO,Centro,Maceió,28
100,4043338834,Agatha Lopes,5,2024,ATIVO,Bom Parto,Maceió,24
101,9079405473,Anna Liz Sales,3,2022,ATIVO,Serraria,Maceió,17
102,7417220057,Mariana Novais,4,2023,ATIVO,Bom Parto,Maceió,25
103,8057705029,Julia Duarte,7,2026,TRANCADO,Feitosa,Maceió,25
104,7353307089,João Gabriel Moura,6,2023,ATIVO,Gruta de Lourdes,Maceió,30
105,1045716987,Henry da Mata,2,2026,ATIVO,Farol,Maceió,23
106,9990363330,João Gabriel das Neves,2,2026,ATIVO,Prado,Maceió,29
107,1044124315,Melina Moreira,6,2025,ATIVO,Pontal da Barra,Maceió,34
108,8662336944,Ana Vitória Vasconcelos,4,2025,ATIVO,Antares,Maceió,19
109,1646791558,Larissa Monteiro,1,2023,TRANCADO,Farol,Maceió,25
110,7318400344,Luna Moraes,6,2024,ATIVO,Cidade Universitária,Maceió,21
111,4279386643,Yasmin Caldeira,1,2026,ATIVO,Santo Amaro,Maceió,19
112,8229741362,Giovanna Azevedo,3,2026,ATIVO,Feitosa,Maceió,17
113,5496618669,Maitê Peixoto,5,2024,ATIVO,Gruta de Lourdes,Maceió,22
114,8955523433,Benicio Nunes,6,2026,ATIVO,Bebedouro,Maceió,23
115,8949055084,Nicolas Correia,4,2025,ATIVO,Rio Novo,Maceió,21
116,76082887,Lorenzo Cunha,5,2026,ATIVO,Ponta Grossa,Maceió,25
117,9464723603,Bianca Albuquerque,4,2022,ATIVO,Porto de Vacas,Barra de São Miguel,18
118,8578312132,Fernando Carvalho,7,2024,ATIVO,Santo Amaro,Maceió,21
119,7261578139,Oliver Caldeira,6,2022,EVADIDO,Santos Dumont,Maceió,33
120,6093002693,Aylla Barbosa,4,2023,EVADIDO,Santa Lúcia,Maceió,21
121,6555781499,Emanuel Sá,4,2025,ATIVO,Rio Novo,Maceió,33
122,9767299370,Arthur Gabriel Souza,7,2025,ATIVO,Jatiúca,Maceió,24
123,4594921629,Maria Júlia Cardoso,3,2023,EVADIDO,Feitosa,Maceió,18
124,8110719180,Rafaela Cunha,3,2025,EVADIDO,Centro,Maceió,26
125,6449365990,Isis Montenegro,6,2024,ATIVO,Ponta Verde,Maceió,24
126,9676386669,Raul da Paz,7,2023,ATIVO,Chã da Jaqueira,Maceió,25
127,640022536,Theodoro da Conceição,5,2024,ATIVO,Pedro Sales de Barros,Olho d'Água das Flores,20
128,6930586211,Stella Barbosa,3,2024,ATIVO,Poço,Maceió,29
129,9564011488,Clara Oliveira,3,2022,TRANCADO,Canaã,Maceió,31
130,4296408502,Maria Liz Pacheco,3,2023,ATIVO,Santa Amélia,Maceió,32
131,3407761940,Otávio Borges,7,2022,ATIVO,Dom Constantino,Penedo,27
132,6123584611,Bryan Abreu,3,2026,EVADIDO,Chã da Jaqueira,Maceió,17
133,4008145034,Kaique Correia,1,2025,ATIVO,Feitosa,Maceió,22
134,491912577,Luana Cavalcanti,6,2022,ATIVO,Trapiche da Barra,Maceió,22
135,815858414,Brenda Duarte,6,2025,ATIVO,Prado,Maceió,21
136,3597102555,Nathan Farias,7,2026,ATIVO,Ponta Grossa,Maceió,16
137,2164386279,Isis Mendes,3,2022,TRANCADO,Serraria,Maceió,17
138,1500848383,Augusto Sampaio,3,2025,ATIVO,Pontal da Barra,Maceió,20
139,9986174404,Isabel Costela,2,2022,ATIVO,Jardim Petrópolis,Maceió,26
140,6892824847,Elisa Pereira,2,2025,ATIVO,Jatiúca,Maceió,24
141,9348614604,Yasmin das Neves,1,2025,ATIVO,Gruta de Lourdes,Maceió,29
142,88236347,Manuella Cassiano,3,2025,EVADIDO,Gruta de Lourdes,Maceió,16
143,4846064969,Bernardo Nascimento,6,2024,EVADIDO,Vergel do Lago,Maceió,23
144,1558744651,Luísa Sales,6,2022,TRANCADO,Santo Amaro,Maceió,21
145,2958101052,Laís Andrade,3,2025,ATIVO,Fernão Velho,Maceió,27
146,5768842229,Emanuel Aparecida,2,2022,ATIVO,Gruta de Lourdes,Maceió,20
147,9343862336,Renan Gonçalves,7,2025,ATIVO,Pescaria,Maceió,26
148,5924760506,Maria Flor da Luz,2,2026,ATIVO,Cruz das Almas,Maceió,17
149,7637810005,Benício da Luz,2,2025,ATIVO,Ponta Grossa,Maceió,22
150,2925012528,Léo Gomes,3,2025,ATIVO,Santos Dumont,Maceió,33
151,9936032829,Davi Pereira,1,2023,ATIVO,Feitosa,Maceió,23
152,8303201953,Caroline Carvalho,2,2025,ATIVO,Levada,Maceió,23
153,4851793915,Amanda Novaes,1,2022,ATIVO,Cruz das Almas,Maceió,31
154,1126390036,Noah Moura,4,2024,EVADIDO,Serraria,Maceió,32
155,2372570446,Kevin Lopes,6,2025,ATIVO,Centro,Arapiraca,35
156,7484606253,Luiz Felipe Alves,6,2023,ATIVO,Ouro Preto,Maceió,35
157,8144315621,Rhavi Rezende,6,2023,ATIVO,Petrópolis,Maceió,31
158,4579702113,Isaque Vasconcelos,6,2026,ATIVO,Raimundo Marinho,Penedo,31
159,162540395,Ana Lívia Fogaça,5,2025,ATIVO,Jacarecica,Maceió,19
160,8555279858,Ana Cecília Azevedo,1,2024,ATIVO,Santo Amaro,Maceió,31
161,9518095695,Milena Costa,3,2022,TRANCADO,São Luiz,Arapiraca,22
162,7567764047,Agatha Cunha,5,2025,EVADIDO,Chã de Bebedouro,Maceió,33
163,3127602594,Hellena Cassiano,5,2023,ATIVO,Antares,Maceió,20
164,1852936882,Yan Marques,1,2024,ATIVO,Vergel do Lago,Maceió,17
165,2614776493,Liz Araújo,2,2023,ATIVO,Vergel do Lago,Maceió,35
166,2685217190,Isadora Nunes,1,2023,ATIVO,Santa Izabel,Penedo,30
167,7557964977,João Miguel Oliveira,3,2024,TRANCADO,Jardim Petrópolis,Maceió,23
168,3826393733,Luísa Oliveira,2,2026,ATIVO,Santa Amélia,Maceió,17
169,7831663433,Gabriela Rios,4,2024,ATIVO,Feitosa,Maceió,27
170,7201166971,Théo da Cunha,3,2024,ATIVO,São Jorge,Maceió,31
171,4635856521,Joana Pereira,3,2026,ATIVO,Antares,Maceió,35
172,5597723256,Erick Vargas,1,2025,EVADIDO,Centro,Maceió,27
173,4189740631,Isabel Cavalcanti,3,2024,ATIVO,São Jorge,Maceió,27
174,76397371,Hellena da Rosa,3,2024,ATIVO,Santo Amaro,Maceió,28
175,5393645839,Maria Alice Guerra,7,2026,ATIVO,Fernão Velho,Maceió,18
176,5433731469,André Cassiano,1,2023,ATIVO,Petrópolis,Maceió,19
177,6644075983,Lara Sousa,7,2023,EVADIDO,Jacintinho,Maceió,17
178,7900005372,Luiza Siqueira,5,2025,ATIVO,Ponta Grossa,Maceió,21
179,2712747738,Benicio Montenegro,3,2023,TRANCADO,Antares,Maceió,28
180,8405640274,Theodoro Campos,2,2026,ATIVO,Tabuleiro do Martins,Maceió,16
181,5653144418,Benício Borges,3,2025,ATIVO,Cidade Universitária,Maceió,20
182,8540455378,Joaquim Silva,5,2024,ATIVO,Ipioca,Maceió,23
183,4096783802,Francisco Araújo,3,2025,ATIVO,Garça Torta,Maceió,19
184,3112800399,Ravy Garcia,2,2022,TRANCADO,Canaã,Maceió,34
185,9514525469,Pedro Lucas Fernandes,3,2023,ATIVO,Jacintinho,Maceió,35
186,2171733981,Paulo Peixoto,4,2026,ATIVO,Vergel do Lago,Maceió,30
187,6161371951,Enzo Gabriel Pinto,2,2024,ATIVO,Farol,Maceió,32
188,3969321641,Maria Fernanda Sales,4,2023,TRANCADO,Feitosa,Maceió,19
189,3617503331,Melina Martins,1,2023,ATIVO,São Jorge,Maceió,24
190,5082184531,Stella Mendonça,1,2023,ATIVO,Ouro Preto,Maceió,16
191,9878192761,Nicole Vasconcelos,1,2022,ATIVO,Chã de Bebedouro,Maceió,24
192,4716414378,Rafael Correia,2,2025,ATIVO,Jatiúca,Maceió,28
